                       Rpile_in_s1
date                              
2022 Mar 16 00:25:00     5.333143e+04
2022 Mar 16 00:30:00     3.906370e+12
2022 Mar 16 00:35:00     4.429504e+27
2022 Mar 16 00:45:00     7.080816e+31
2022 Mar 16 01:10:00     3.518437e+13
2022 Mar 16 01:30:00     7.712793e+31
2022 Mar 16 01:40:00     4.429504e+27
2022 Mar 16 01:50:00     6.595079e+22
2022 Mar 16 05:40:00     5.228305e+03
2022 Mar 16 08:35:00     5.242869e+03
2022 Mar 16 10:00:00     2.000000e+04
2022 Mar 16 13:25:00     2.000000e+04
2022 Mar 16 18:20:00     2.156980e+04
                      Rpile_out_s9
date                              
2022 Mar 16 00:00:00  2.902920e+32
2022 Mar 16 00:10:00  7.700977e+31
2022 Mar 16 00:20:00  1.036681e+27
2022 Mar 16 00:35:00  3.777893e+22
2022 Mar 16 00:40:00  7.080816e+31
2022 Mar 16 00:45:00  1.036681e+27
2022 Mar 16 00:50:00  4.412386e+21
2022 Mar 16 00:55:00  4.429504e+27
2022 Mar 16 01:05:00  7.212613e+22
2022 Mar 16 01:25:00  3.777893e+22
2022 Mar 16 01:40:00  2.902920e+32
2022 Mar 16 01:50:00  1.187016e+27
2022 Mar 16 05:55:00  2.216360e+04
2022 Mar 16 16:50:00  2.715120e+04
2022 Mar 16 18:35:00  5.379113e+03
                      Rpile_out_s3
date                              
2022 Mar 16 00:00:00  1.841542e+31
2022 Mar 16 00:20:00  7.156229e+22
2022 Mar 16 00:25:00  1.801322e+25
2022 Mar 16 00:30:00  7.080816e+31
2022 Mar 16 00:50:00  7.712793e+31
2022 Mar 16 00:55:00  3.085105e+32
2022 Mar 16 01:00:00  1.717713e+19
2022 Mar 16 01:25:00  1.014120e+31
2022 Mar 16 01:35:00  1.429708e+19
2022 Mar 16 01:40:00  7.564055e+28
2022 Mar 16 06:10:00  2.221400e+04
2022 Mar 16 17:05:00  2.712700e+04
2022 Mar 16 18:50:00  5.380115e+03
                      Rpile_out_s16
date                               
2022 Mar 16 00:05:00   1.157819e+27
2022 Mar 16 00:10:00   1.841542e+31
2022 Mar 16 00:30:00   4.079108e+12
2022 Mar 16 00:40:00   1.036681e+27
2022 Mar 16 00:55:00   3.777893e+22
2022 Mar 16 01:00:00   4.583255e+30
2022 Mar 16 01:05:00   7.130541e+28
2022 Mar 16 01:15:00   1.036681e+27
2022 Mar 16 01:20:00   4.631198e+27
2022 Mar 16 01:25:00   1.904582e+31
2022 Mar 16 01:30:00   4.429504e+27
2022 Mar 16 01:35:00   7.080816e+31
2022 Mar 16 01:45:00   1.036681e+27
2022 Mar 16 06:25:00   2.230840e+04
2022 Mar 16 17:20:00   2.712260e+04
2022 Mar 16 19:05:00   5.355855e+03
                      Rpile_out_s11
date                               
2022 Mar 16 00:00:00   8.845664e+32
2022 Mar 16 00:20:00   3.902930e+12
2022 Mar 16 00:35:00   7.712793e+31
2022 Mar 16 00:55:00   1.157819e+27
2022 Mar 16 01:00:00   4.342291e+21
2022 Mar 16 01:05:00   4.371878e+21
2022 Mar 16 01:25:00   3.393681e+27
2022 Mar 16 01:30:00   1.157819e+27
2022 Mar 16 01:35:00   1.892235e+23
2022 Mar 16 01:40:00   4.429504e+27
2022 Mar 16 08:20:00   2.000000e+04
2022 Mar 16 13:30:00   5.199106e+03
2022 Mar 16 16:25:00   5.191047e+03
2022 Mar 16 16:50:00   2.000000e+04
2022 Mar 16 17:50:00   2.000000e+04
2022 Mar 16 21:15:00   2.000000e+04
                         Rsw_in_s1
date                              
2022 Mar 16 00:10:00  1.703103e+25
2022 Mar 16 00:25:00  2.839786e+29
2022 Mar 16 00:30:00  1.786152e+25
2022 Mar 16 00:35:00  1.036681e+27
2022 Mar 16 01:00:00  1.648770e+22
2022 Mar 16 01:05:00  1.404072e+31
2022 Mar 16 01:10:00  7.317916e+28
2022 Mar 16 01:15:00  1.841542e+31
2022 Mar 16 01:20:00  1.036681e+27
2022 Mar 16 01:25:00  1.014120e+31
2022 Mar 16 01:30:00  8.284316e+23
2022 Mar 16 01:40:00  3.777893e+22
2022 Mar 16 01:45:00  1.141837e+27
2022 Mar 16 04:40:00  2.248960e+04
2022 Mar 16 15:35:00  2.707440e+04
2022 Mar 16 17:20:00  5.377324e+03
                      Rsw_in_cr_s4
date                              
2022 Mar 16 00:05:00  1.752384e+19
2022 Mar 16 00:25:00  4.429504e+27
2022 Mar 16 00:30:00  4.429504e+27
2022 Mar 16 00:45:00  6.770416e+22
2022 Mar 16 00:50:00  4.412401e+21
2022 Mar 16 01:00:00  1.717713e+19
2022 Mar 16 01:05:00  2.902920e+32
2022 Mar 16 01:10:00  1.014120e+31
2022 Mar 16 01:20:00  1.429708e+19
2022 Mar 16 01:25:00  4.417234e+21
2022 Mar 16 01:35:00  2.902920e+32
2022 Mar 16 01:45:00  3.022230e+32
2022 Mar 16 01:55:00  1.157819e+27
2022 Mar 16 06:50:00  2.711380e+04
2022 Mar 16 08:35:00  5.406974e+03
2022 Mar 16 15:20:00  2.163400e+04
2022 Mar 16 19:45:00  2.593340e+04
2022 Mar 16 21:30:00  2.000000e+04
                         Rsw_in_s9
date                              
2022 Mar 16 00:25:00  1.429708e+19
2022 Mar 16 00:30:00  1.036681e+27
2022 Mar 16 00:40:00  1.887859e+28
2022 Mar 16 00:50:00  4.429504e+27
2022 Mar 16 01:10:00  1.717713e+19
2022 Mar 16 01:20:00  1.014120e+31
2022 Mar 16 01:30:00  1.014120e+31
2022 Mar 16 01:45:00  1.717713e+19
2022 Mar 16 01:50:00  7.778521e+31
2022 Mar 16 07:20:00  2.577960e+04
2022 Mar 16 09:05:00  2.000000e+04
2022 Mar 16 20:00:00  2.000000e+04
                         Rsw_in_s3
date                              
2022 Mar 16 00:05:00  7.712793e+31
2022 Mar 16 00:20:00  5.975642e+04
2022 Mar 16 00:25:00  1.102673e+07
2022 Mar 16 00:30:00  1.897081e+31
2022 Mar 16 00:35:00  1.841542e+31
2022 Mar 16 00:40:00  4.417234e+21
2022 Mar 16 00:45:00  7.756092e+26
2022 Mar 16 01:05:00  1.157819e+27
2022 Mar 16 01:10:00  6.590952e+22
2022 Mar 16 01:20:00  2.832722e+32
2022 Mar 16 01:30:00  2.902920e+32
2022 Mar 16 01:40:00  5.585814e+34
2022 Mar 16 01:55:00  2.902920e+32
2022 Mar 16 07:35:00  2.588500e+04
2022 Mar 16 09:20:00  2.000000e+04
2022 Mar 16 20:15:00  2.000000e+04
                        Rsw_in_s16
date                              
2022 Mar 16 00:00:00  4.417234e+21
2022 Mar 16 00:10:00  4.631198e+27
2022 Mar 16 00:15:00  1.036681e+27
2022 Mar 16 00:35:00  1.498635e+10
2022 Mar 16 00:50:00  1.429708e+19
2022 Mar 16 01:35:00  1.887859e+28
2022 Mar 16 01:40:00  1.014120e+31
2022 Mar 16 01:50:00  2.902920e+32
2022 Mar 16 01:55:00  1.841542e+31
2022 Mar 16 07:50:00  2.591020e+04
2022 Mar 16 09:35:00  2.000000e+04
2022 Mar 16 20:30:00  2.000000e+04
                        Rsw_in_s11
date                              
2022 Mar 16 00:00:00  4.429504e+27
2022 Mar 16 00:05:00  1.610127e+19
2022 Mar 16 00:10:00  1.429708e+19
2022 Mar 16 00:20:00  4.429504e+27
2022 Mar 16 00:25:00  7.080816e+31
2022 Mar 16 00:30:00  3.022230e+32
2022 Mar 16 00:40:00  7.712793e+31
2022 Mar 16 01:00:00  7.270722e+31
2022 Mar 16 01:05:00  2.840414e+29
2022 Mar 16 01:15:00  1.648604e+22
2022 Mar 16 01:20:00  1.429708e+19
2022 Mar 16 01:25:00  1.014120e+31
2022 Mar 16 01:45:00  6.222705e+13
2022 Mar 16 01:55:00  8.905052e+08
2022 Mar 16 03:45:00  2.256860e+04
2022 Mar 16 14:40:00  2.715660e+04
2022 Mar 16 16:25:00  5.387816e+03
